Municipio,Codigo_DANE,Documento,ID_Proyecto,Nombre_Proyecto,Codigos_MGA,Indicador de Producto(MGA),Productos,Especificidad,Vision_Regional,Impacto,Calificacion_Promedio,Justificacion
Cajicá,25126,SisPT – Plan indicativo - Productos,1-1,Estudio de crecimiento de la huella urbana de los municipios de la provincia.,"400203400, 400201603, 320200200",Estudios o diseños realizados; Documentos de formulación del Plan de Ordenamiento Departamental elaborados; Documentos de planeación realizados,47. Realizar 1 estudio y diseño para la revisión general del Plan de Ordenamiento Territorial; 46. Elaborar e implementar 1 Plan anual para el desarrollo de las actividades de planificación del territorio. SRB ORDEN 4.10; 15. Implementar 1 Plan Institucional de Gestión Ambiental - PIGA - anualmente para disminuir la Huella de Carbono,4,2,3,3.0,"El producto 'Estudios o diseños realizados' tiene una relación directa con el objetivo del proyecto, ya que aborda el análisis del uso del suelo y la población. Por lo tanto, se le asigna un puntaje alto en especificidad. La visión regional se ve limitada, ya que no menciona explícitamente otros municipios, pero su impacto es relevante para la sostenibilidad a largo plazo en Cajicá."
Cajicá,25126,SisPT – Plan indicativo - Productos,1-2,"Estudio para deﬁnir la estructura ecológica principal de la provincia (ecosistemas naturales, fuentes hídricas, áreas de protección, amenazas naturales y zonas de riesgo).","400302700, 320200110, 320303300",Conexiones Intradomiciliarias apoyadas financieramente; Documento de lineamientos técnicos para las administración del recurso hídrico; Proyectos para la promoción del uso eficiente y ahorro del agua formulados,"28. Realizar 1 gestión con otros niveles de gobierno para desarrollar alternativas de abastecimiento municipal como concesión de aguas. SRB orden 4.34; 1. Elaborar y ejecutar 1 Plan anual para la adquisición de predios, protección y mantenimiento de áreas de reserva hídrica. SRB - ORDEN 4.8 - 4,25; 13. Implementar al 100% el plan de acción anual del Programa de Uso Eficiente y Ahorro del Agua - PUEAA SRB Orden 4.33",3,2,2,2.33,"La especificidad se justifica porque los productos seleccionados abordan temas relacionados con la gestión del agua y la sostenibilidad, aunque no todos cumplen con los requerimientos del proyecto. La visión regional se limita a la mención de cooperación con otros niveles de gobierno, lo que justifica un puntaje bajo. El impacto es moderado, ya que los productos pueden contribuir a la sostenibilidad, pero no de manera transformadora."
Cajicá,25126,SisPT – Plan indicativo - Productos,1-3,"Estudios de vulnerabilidad ante los impactos observados y esperados del cambio climático, como son: inundaciones, sequías, ascenso del nivel del mar, aumento de la temperatura, disminución de las lluvias y de las fuentes de suministro de agua.","320600200, 450302301, 320300207",Documentos de lineamientos técnicos realizados; Plan de gestión del riesgo de desastres formulado; Documentos de planeación del plan de ordenación y manejo ambiental de cuenca hidrográfica elaborados,"20. Formular e implementar anualmente al 100% el Plan Integral de Gestión de Cambio Climático; 271. Actualizar e implementar al 100% el plan de acción anual del Plan Municipal para la Gestión del Riesgo de Desastres; 4. Elaborar e Implementar 1 Plan de Manejo Ambiental para la Recuperación y Conservación del Río Frío y sus afluentes - SRB ORDEN 4,19- 4.10 - 4.19",4,2,3,3.0,"El producto de gestión del cambio climático tiene una relación directa con el objetivo del proyecto y cumple con varios requerimientos técnicos. La visión regional es limitada, ya que no menciona explícitamente otros municipios, y el impacto es claro, pero no transformador."
Cajicá,25126,SisPT – Plan indicativo - Productos,1-4,Armonización de los instrumentos de política pública relacionados con la gestión de recursos ambientales,"320300101, 400302002, 190603500",Documentos de lineamientos técnicos para la implementación de la Política Nacional de Gestión Integral del Recurso Hídrico adoptados; Plantas de tratamiento de aguas residuales optimizadas; Instituciones financiadas para la atención en salud a la población,12.Formular e implementar anualmente al 100% el plan de acción de la Política Pública Municipal para la Gestión Integral del Agua. SRB Orden 4.23; 39.Ejecutar 1 proyecto para la optimización y mejoramiento de la Planta de Tratamiento de Aguas Residuales PTAR - Calahorra. SRB orden 4.57; 162. Realizar 1 convenio de desempeño con la ESE Hospital Profesor Jorge Cavelier que garantice el pago de los recursos de oferta,3,2,3,2.67,"El producto sobre la gestión del agua tiene una relación clara con el objetivo del proyecto, abordando la sostenibilidad ambiental. La visión regional es limitada, ya que no todos los productos mencionan explícitamente otros municipios, y el impacto es significativo en la sostenibilidad a largo plazo."
Cajicá,25126,SisPT – Plan indicativo - Productos,1-5,Diseño de un Modelo Integral para la Ocupación Sostenible del Territorio de la Provincia Sabana Centro,"400203400, 400201600, 320300207, 240210701, 190504901",Estudios o diseños realizados; Documentos de planeación elaborados; Documentos de planeación del plan de ordenación y manejo ambiental de cuenca hidrográfica elaborados; Proyectos soportados con asistencia técnica; Personas que participan en estrategias de promoción de la participación social en Salud,"47. Realizar 1 estudio y diseño para la revisión general del Plan de Ordenamiento Territorial; 44.Gestionar la aprobación y adoptar 1 revisión excepcional del Plan Básico de Ordenamiento Territorial. SRB orden 4.18 -; 4. Elaborar e Implementar 1 Plan de Manejo Ambiental para la Recuperación y Conservación del Río Frío y sus afluentes - SRB ORDEN 4,19- 4.10 - 4.19; 242. Realizar 1 acción de gestión predial para las vías proyectadas en el ordenamiento del territorio; 181. Crear 1 alianza estratégica en salud en la región de Sabana Centro",4,3,3,3.33,"1. Especificidad (4): Los productos seleccionados están directamente relacionados con el ordenamiento territorial y la sostenibilidad, cumpliendo la mayoría de los requerimientos del proyecto. 2. Visión Regional (3): Algunos productos mencionan la coordinación con actores supramunicipales y tienen un alcance que trasciende el municipio, aunque no todos mencionan explícitamente otros municipios. 3. Impacto (3): Los productos tienen un impacto claro en la sostenibilidad ambiental y social, aunque no todos abordan múltiples dimensiones de sostenibilidad."
Cajicá,25126,SisPT – Plan indicativo - Productos,1-6,Construcción de una agenda conjunta para la reducción de GEI y gestión del riesgo,450301700,Estudios de riesgo de desastres elaborados,272. Realizar 1 estrategia para la mitigación del riesgo,3,2,3,2.67,"El producto aborda la gestión del riesgo, que es clave para el proyecto, pero no cubre todos los requerimientos. Su impacto en la región es moderado, ya que no se menciona explícitamente la cooperación con otros municipios."
Cajicá,25126,SisPT – Plan indicativo - Productos,1-7,Promoción y fortalecimiento del programa “Multiplicadores de Conciencia Ambiental”,"320100203, 320200100, 320300207, 320303300, 320200200",Programas de gestión ambiental sectorial diseñados; Documentos de lineamientos técnicos realizados; Documentos de planeación del plan de ordenación y manejo ambiental de cuenca hidrográfica elaborados; Proyectos para la promoción del uso eficiente y ahorro del agua formulados; Documentos de planeación realizados,"17. Elaborar e Implementar 1 Plan Municipal anual para el desarrollo y la competitividad de la actividad del reciclaje en Cajicá; 10. Actualizar e implementar al 100% el plan de acción anual del SIGAM - Sistema de Gestión Ambiental Municipal - Agenda Ambiental para el municipio; 4. Elaborar e Implementar 1 Plan de Manejo Ambiental para la Recuperación y Conservación del Río Frío y sus afluentes - SRB ORDEN 4,19- 4.10 - 4.19; 13. Implementar al 100% el plan de acción anual del Programa de Uso Eficiente y Ahorro del Agua - PUEAA SRB Orden 4.33; 15. Implementar 1 Plan Institucional de Gestión Ambiental - PIGA - anualmente para disminuir la Huella de Carbono",4,3,4,3.67,"1. Especificidad (4): Los productos seleccionados abordan directamente la gestión ambiental y la participación ciudadana, cumpliendo con la mayoría de los requerimientos del proyecto. 2. Visión regional (3): Algunos productos mencionan la cooperación con otros municipios y tienen un impacto que trasciende Cajicá, aunque no todos lo hacen de manera explícita. 3. Impacto (4): Los productos tienen un impacto significativo en la sostenibilidad ambiental, abordando varias dimensiones de la sostenibilidad con beneficios concretos a mediano y largo plazo."
Cajicá,25126,SisPT – Plan indicativo - Productos,1-8,Formulación del proyecto Sistema de parques eco-turísticos y corredores verdes,"320300207, 320200200, 400201900, 320100901",Documentos de planeación del plan de ordenación y manejo ambiental de cuenca hidrográfica elaborados; Documentos de planeación realizados; Espacio publico construido; Programas de recolección de residuos pos consumo con seguimiento,"4. Elaborar e Implementar 1 Plan de Manejo Ambiental para la Recuperación y Conservación del Río Frío y sus afluentes - SRB ORDEN 4,19- 4.10 - 4.19; 15. Implementar 1 Plan Institucional de Gestión Ambiental - PIGA - anualmente para disminuir la Huella de Carbono; 58. Ejecutar 1 Plan anual de construcción, adecuación, mejoramiento, mantenimiento del espacio público; 16. Elaborar e Implementar 1 Plan Municipal anual para promocionar y fomentar la Economía Circular",2,1,2,1.67,"La especificidad es 2 porque los productos tienen relación temática con el proyecto, pero no abordan directamente todos los requerimientos. La visión regional es 1, ya que aunque algunos productos pueden tener efectos en otros municipios, no se menciona explícitamente su impacto regional. El impacto es 2, dado que los productos pueden contribuir de manera modesta a la sostenibilidad, pero no son transformadores."
Cajicá,25126,SisPT – Plan indicativo - Productos,1-9,Estudios y diseños del macro proyecto paisajístico Parque Lineal Río Bogotá,"320300207, 320305000, 320200100",Documentos de planeación del plan de ordenación y manejo ambiental de cuenca hidrográfica elaborados; Áreas protegidas; Documentos de lineamientos técnicos realizados,"4. Elaborar e Implementar 1 Plan de Manejo Ambiental para la Recuperación y Conservación del Río Frío y sus afluentes - SRB ORDEN 4,19- 4.10 - 4.19; 3. Realizar 1 acción anual de articulación con el POMCA - Plan de Ordenación y Manejo de Cuenca del Río Bogotá - SRB ORDEN 4,8 - 4.10 -4.17; 10. Actualizar e implementar al 100% el plan de acción anual del SIGAM - Sistema de Gestión Ambiental Municipal - Agenda Ambiental para el municipio",3,2,3,2.67,"La especificidad se justifica porque los productos seleccionados abordan aspectos relevantes para el manejo ambiental del río, aunque no todos son el objetivo directo. La visión regional se califica con 2, ya que algunos productos mencionan coordinación con actores supramunicipales, pero no todos tienen un alcance explícito en otros municipios. El impacto se justifica con 3, dado que los productos tienen un efecto claro en la sostenibilidad, aunque no todos son transformadores."
Cajicá,25126,SisPT – Plan indicativo - Productos,1-10,Formulación de un programa regional para la gestión y aprovechamiento económico integral de residuos,400300602,Plan Integral de gestión de residuos sólidos (PGIRS) actualizado,43. Actualizar e implementar al 100 % el plan de acción anual del Plan de Gestión Integral Residuos Sólidos - PGIRS,4,2,3,3.0,"El PGIRS se alinea directamente con el objetivo del proyecto, abordando la gestión de residuos. Su visión regional es limitada, ya que no menciona explícitamente otros municipios, y su impacto en sostenibilidad es claro pero no transformador."
